BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-23 17:20:54.523386,Pass,Successful Run,2021-11-23 17:20:54.757764,0.234378,91
d_customer.py,2021-11-23 17:20:54,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-23 17:20:54,0,0
d_naics.py,2021-11-23 17:20:59.491984,Pass,Successful Run,2021-11-23 17:21:09.125968,9.633984,1276
d_psc.py,2021-11-23 17:21:09.133972,Pass,Successful Run,2021-11-23 17:21:20.928757,11.794785,3122
f_advantage.py,2021-11-23 17:21:20.928757,Pass,Successful Run,2021-11-23 17:21:23.116191,2.187434,3129636
f_budget_authority.py,2021-11-23 17:21:23.131818,Pass,Successful Run,2021-11-23 17:21:24.147404,1.015586,199550
f_budget_outlays.py,2021-11-23 17:21:24.147404,Pass,Successful Run,2021-11-23 17:21:24.959867,0.812463,205250
f_budget_receipts.py,2021-11-23 17:21:24.959867,Pass,Successful Run,2021-11-23 17:21:25.381703,0.421836,12600
f_campaign.py,2021-11-23 17:21:25.397325,Pass,Successful Run,2021-11-23 17:21:34.022086,8.624761,26717390
f_case.py,2021-11-23 17:21:34.037709,Pass,Successful Run,2021-11-23 17:21:36.490738,2.453029,1985921
f_ebuy.py,2021-11-23 17:21:36.490738,Pass,Successful Run,2021-11-23 17:21:37.115741,0.625003,85303
f_eloqua_emailclick.py,2021-11-23 17:21:37.115741,Pass,Successful Run,2021-11-23 17:21:38.053215,0.937474,241698
f_eloqua_emailopen.py,2021-11-23 17:21:38.068839,Pass,Successful Run,2021-11-23 17:21:40.193789,2.12495,4543937
f_eloqua_emailsend.py,2021-11-23 17:21:40.193789,Pass,Successful Run,2021-11-23 17:21:44.896763,4.702974,16939298
f_eloqua_pageview.py,2021-11-23 17:21:44.896763,Pass,Successful Run,2021-11-23 17:21:47.318539,2.421776,3134150
f_eloqua_webvisit.py,2021-11-23 17:21:47.318539,Pass,Successful Run,2021-11-23 17:21:48.740394,1.421855,1062370
f_opportunity.py,2021-11-23 17:21:48.740394,Pass,Successful Run,2021-11-23 17:21:49.568488,0.828094,38765
f_survey.py,2021-11-23 17:21:49.584109,Pass,Successful Run,2021-11-23 17:21:51.459050,1.874941,1283413
s_fpds_obligations.py,2021-11-23 17:21:51.459050,Pass,Successful Run,2021-11-23 17:22:17.880144,26.421094,6989227
